Title,link
Greta Thunberg’s 60 ft tall mural unveiled at San Francisco,https://www.hindustantimes.com/it-s-viral/greta-thunberg-s-60-ft-tall-mural-unveiled-at-san-francisco/story-vQMuvqdQOkKSCtOak83iKM.html
"Prank gone wrong: Bengaluru YouTubers dress up as ghosts to scare people, get arrested. Watch",https://www.hindustantimes.com/it-s-viral/prank-gone-wrong-bengaluru-men-dress-up-as-ghosts-to-scare-people-get-arrested/story-bY9sShFusUiLh05TggUqbN.html
This spicy and earthy flavoured gin is infused with a special ingredient ...elephant dung,https://www.hindustantimes.com/it-s-viral/this-spicy-and-earthy-flavoured-gin-is-infused-with-a-special-ingredient-elephant-dung/story-XUYmEhoLnvkoqNs691BeJL.html
Rare tiny mouse deer clicked for first time in 30 years. See pics,https://www.hindustantimes.com/it-s-viral/rare-tiny-mouse-deer-clicked-for-first-time-in-30-years-see-pics/story-jA7MNIVAb3moRAgvVAZ1FO.html
World’s most expensive wrist watch auctioned for a whopping $31 million,https://www.hindustantimes.com/it-s-viral/world-s-most-expensive-wrist-watch-auctioned-for-a-whopping-31-million/story-LUHqdcvaUy3UzXYacn9rRK.html
Netizens enraged with NYPD officers for arresting women selling food in subway,https://www.hindustantimes.com/it-s-viral/netizens-enraged-with-nypd-officers-for-arresting-women-selling-food-in-subway/story-XgZeY1wOxlyebw2Ob5M53J.html
Woman shares cringeworthy selfie of passenger’s feet on her headrest,https://www.hindustantimes.com/it-s-viral/woman-shares-cringeworthy-selfie-of-passenger-s-feet-on-her-headrest/story-5r4p1L2fqm5P9pn35DReNK.html
"Assam cops hold babies while their mothers take exam, win Twitter",https://www.hindustantimes.com/it-s-viral/heartening-pic-shows-assam-police-personnel-holding-babies-while-their-mothers-write-exam-wins-twitter/story-LyRKtQRiSyaohweAPNCIKO.html
Smart elephant plucks jackfruit from tree like a pro. Watch,https://www.hindustantimes.com/it-s-viral/smart-elephant-plucks-jackfruit-from-tree-like-a-pro-watch/story-tpKF3r2pNQPjIMiK7V980I.html
Scientist names newly discovered spider species after Sachin Tendulkar,https://www.hindustantimes.com/it-s-viral/scientist-names-newly-discovered-spider-species-after-sachin-tendulkar/story-ldCHdXHvy30iIHHD1VgcAM.html
He threw a message in a bottle at Massachusetts beach. 9 years later it was found in France,https://www.hindustantimes.com/it-s-viral/he-threw-a-message-in-a-bottle-at-massachusetts-beach-9-years-later-it-was-found-in-france/story-hHCuO5MOdQb4cxbod1wG8I.html
Upside down waterfall leaves Internet impressed. Watch,https://www.hindustantimes.com/it-s-viral/upside-down-waterfall-leaves-internet-impressed-watch/story-bM4xfv17iC6FPOTvuQaPYI.html
Looking to brighten your Monday? Watching these playful pandas may help,https://www.hindustantimes.com/it-s-viral/looking-to-brighten-your-monday-watching-these-playful-pandas-may-help/story-9NIbW5fz3CUSG59F0W5d7J.html
Doctor singing to calm baby is the Internet’s new favourite video. Watch ,https://www.hindustantimes.com/it-s-viral/doctor-singing-to-calm-baby-is-the-internet-s-new-favourite-video-watch/story-JJqAsDQVn8bY8BNhdnnZUI.html
Michigan man uses battle axe he calls ‘my baby’ to fend off intruder,https://www.hindustantimes.com/it-s-viral/michigan-man-uses-battle-axe-he-calls-my-baby-to-fend-off-intruder/story-JVSN0QGysELrKCZUTcStnO.html
This flying robot can climb walls and clean glass,https://www.hindustantimes.com/it-s-viral/this-flying-robot-can-climb-walls-and-clean-glass/story-1jwcjwgQ3MLAwvq5RG3gcK.html
University invites students to lie down in a grave to deal with stress,https://www.hindustantimes.com/it-s-viral/university-invites-students-to-lie-down-in-a-grave-to-deal-with-stress/story-eNn0Cnhfdb8bxDW5zgsAKM.html
"Video of ‘mini cheetah’ robots playing football scares many, amuses some",https://www.hindustantimes.com/it-s-viral/video-of-mini-cheetah-robots-playing-soccer-scares-many-amuses-some/story-2z4iqqgdvdEx3lcc2PFNYO.html
"Woman teaches her dog to ‘speak,’ videos show how",https://www.hindustantimes.com/it-s-viral/woman-teaches-her-dog-to-speak-videos-show-how/story-qfn1uSaruOJpXL3MuNYljM.html
Cheetah snuggles and plays with its ‘best friend’... a dog. Videos win over people,https://www.hindustantimes.com/it-s-viral/cheetah-snuggles-and-plays-with-its-best-friend-a-dog-videos-win-over-people/story-uVFfojvoYA2HOZyisyBZ3L.html
Fish with ‘human-like’ face spotted in China. Viral video creeps people out,https://www.hindustantimes.com/it-s-viral/fish-with-human-like-face-spotted-in-china-viral-video-creeps-people-out/story-s0DauPdmcvsYfDgbA92MWP.html
"‘Fearless’ goat who befriended a Tiger dies, tributes flood Twitter",https://www.hindustantimes.com/it-s-viral/fearless-goat-who-befriended-a-tiger-dies-people-pay-tribute-online/story-GBnMUf7aHbUrCl33kFCCWP.html
"Gulab jamun pizza pic goes viral, sparks online debate. Which side are you on?",https://www.hindustantimes.com/it-s-viral/gulab-jamun-pizza-pic-goes-viral-sparks-online-debate-which-side-are-you-on/story-OJrHp10Eyk0PZ1dNCmLRUJ.html
Video of people singing Shabad Kirtan on Great Wall of China wins Twitter,https://www.hindustantimes.com/it-s-viral/video-of-people-singing-shabad-kirtan-on-great-wall-of-china-wins-people/story-kIVfJp30DLG7896y20PmQP.html
Man bought 1.2 kg crab at a record-breaking price. Can you guess how much he paid?,https://www.hindustantimes.com/it-s-viral/man-bought-1-2-kg-crab-at-a-record-breaking-price-can-you-guess-how-much/story-OFhxGUkVDocyxQ7WUL4UVO.html
Sachin Tendulkar shares Chandannagar’s Jagadhatri Puja installation paying tribute to Indian Air Force,https://www.hindustantimes.com/it-s-viral/sachin-tendulkar-shares-chandannagar-s-jagadhatri-puja-installation-paying-tribute-to-indian-air-force/story-axeKGjWuNZXnDuk66KqLFM.html
"Woman sings from her apartment window at night, this is how her neighbours react. Watch",https://www.hindustantimes.com/it-s-viral/woman-sings-from-her-apartment-window-at-night-this-is-how-her-neighbours-react-watch/story-GvYNMOhGP0h6NOGD2ZbR5K.html
‘Hero’ cat saves 1-year-old baby from falling down the stairs. Video goes viral,https://www.hindustantimes.com/it-s-viral/hero-cat-saves-1-year-old-baby-from-falling-down-the-stairs-video-goes-viral/story-KNEEqd62SbpyrgoVECxgeK.html
Fisherman reels in extremely unusual catch... a live deer,https://www.hindustantimes.com/it-s-viral/fisherman-reels-in-extremely-unusual-catch-a-live-deer/story-0Qhras5o42Nj9fPHxDghLM.html
"Beluga whale plays wonderful game of ‘fetch’, Twitter calls it life goals",https://www.hindustantimes.com/it-s-viral/beluga-whale-plays-wonderful-game-of-fetch-twitter-calls-it-life-goals/story-SRavWi48NL3NU3kLVfbTiL.html
"Majestic tiger family filmed drinking water together, videos amazes Twitter",https://www.hindustantimes.com/it-s-viral/majestic-tiger-family-filmed-drinking-water-at-pench-tiger-reserve-watch/story-qh2yBgJzoBfeBBbc43WjbI.html
"‘Yamraj’ stops people from trespassing on train tracks, creates awareness",https://www.hindustantimes.com/it-s-viral/yamraj-stops-people-from-trespassing-on-train-tracks-creates-awareness/story-qIW5EGrQxxktZak5r4Eo1N.html
Orangutan gets ‘personhood’ title. Settles in new Florida home,https://www.hindustantimes.com/it-s-viral/orangutan-gets-personhood-title-settles-in-new-florida-home/story-8qC4vlxWejJYIGjbAh0TlN.html
University accepts sandwich as payment for parking tickets. Here’s why,https://www.hindustantimes.com/it-s-viral/university-accepts-sandwich-as-payment-for-parking-tickets-here-s-why/story-Gbm3F2VY138zfGXkxmrNAK.html
"Man feels pain in ear, finds large cockroach living inside. That’s not the worst part",https://www.hindustantimes.com/it-s-viral/man-feels-pain-in-ear-finds-large-cockroach-living-inside-that-s-not-the-worst-part/story-CP5d8OyDPu263l7zKgQ7LM.html
Stray cow regularly visits shop in Andhra Pradesh and does this. Watch,https://www.hindustantimes.com/it-s-viral/stray-cow-regularly-visits-shop-in-andhra-pradesh-and-does-this-watch/story-ixaVEZ3qbQrOPvVAd1ug3H.html
"Man bought burger in 1995, 20-year-later still looks ‘fresh.’ Would you eat it?",https://www.hindustantimes.com/it-s-viral/man-bought-burger-in-1995-20-year-later-still-looks-fresh-would-you-eat-it/story-unMWWGIdJvSZpoetq85x6H.html
"Ranveer Singh posts ‘what is mobile number,’ Nagpur Police dishes out witty reply. Wins Twitter",https://www.hindustantimes.com/it-s-viral/ranveer-singh-posts-what-is-mobile-number-nagpur-police-dishes-out-witty-reply-wins-twitter/story-M9OiVfSEP5MUdYI7RX7RoM.html
"Snapchat’s spider filter intrigues people, including Kylie Jenner",https://www.hindustantimes.com/it-s-viral/snapchat-s-spider-filter-intrigues-people-including-kylie-jenner/story-4EGZqq1RK0Ess0elOomfJO.html
Elephant tries to sit on a moving car. Heart-stopping incident captured,https://www.hindustantimes.com/it-s-viral/elephant-tries-to-sit-on-a-moving-car-heart-stopping-incident-captured/story-is4ONb1eIxrPHE1MCtQbCM.html
"15,000-year-old human-built traps found. Here’s what they were used for",https://www.hindustantimes.com/it-s-viral/15-000-year-old-human-built-traps-found-here-s-what-they-were-used-for/story-C7H7tqm8YdPxDfBLRVmSKL.html
"Gold toilet studded with over 40,000 diamonds stuns people. Can you guess its worth?",https://www.hindustantimes.com/it-s-viral/gold-toilet-studded-with-over-40-000-diamonds-stuns-people-can-you-guess-its-worth/story-0x8F7PJIDGdVGHLeN3S7QN.html
UP cop plays snake charmer’s flute to rescue snake,https://www.hindustantimes.com/it-s-viral/up-cop-plays-snake-charmer-s-flute-to-rescue-snake/story-a5yeUWydOtw3htzRGycSrI.html
Doctors perform special ‘constipation dance’ and it’s hilarious. Watch,https://www.hindustantimes.com/it-s-viral/doctors-perform-special-constipation-dance-and-it-s-hilarious-watch/story-ar3SdK9WnWkdYlufC1XfnJ.html
"Man puts his feet on the backrest of seat in front, netizens are disgusted",https://www.hindustantimes.com/it-s-viral/man-puts-his-feet-on-the-backrest-of-seat-in-front-netizens-are-disgusted/story-6bPEAD7wmvIHiOLGGiGTHP.html
Woman’s pics of her kissing strangers at iconic places are crazy viral,https://www.hindustantimes.com/it-s-viral/woman-s-pics-of-her-kissing-strangers-at-iconic-places-are-crazy-viral/story-CPpteahzGhPqmZfomWScAP.html
"Fishermen shocked to find unlikely animal in ocean, rush to its rescue",https://www.hindustantimes.com/it-s-viral/fishermen-shocked-to-find-unlikely-animal-in-ocean-rush-to-its-rescue/story-YAWgvkXs4B5dQUQeqXnSNM.html
She was walking strangely. A search led officers to find gold bars in her shoes,https://www.hindustantimes.com/it-s-viral/she-was-walking-strangely-a-search-led-officers-to-find-gold-in-her-shoes/story-YsMYdhn2pPA1YSiWZQ0l4K.html
"Abandoned pup turns out to be this, surprises rescuers",https://www.hindustantimes.com/it-s-viral/abandoned-pup-turns-out-to-be-this-surprises-rescuers/story-id41urFDnG2342K0SmETpJ.html
"Ghaziabad district magistrate fines himself, staff. Here’s why",https://www.hindustantimes.com/it-s-viral/ghaziabad-district-magistrate-fines-himself-staff-here-s-why/story-KDVhxsomf2NCaFjX2KgY6K.html
Man fell on tracks as train approached. Watch his rescue in the nick of time,https://www.hindustantimes.com/it-s-viral/man-fell-on-tracks-as-train-approached-watch-his-rescue-in-the-nick-of-time/story-Qelf7AAi2P0KR8273tczrI.html
Dad’s adorable ‘talk’ with daughter over jacket is viral. Watch,https://www.hindustantimes.com/it-s-viral/dad-s-adorable-talk-with-daughter-over-jacket-is-viral-watch/story-QyHlgyJLol8u3ywJ8CEuNN.html
"Smart elephant breaks electric fence like it’s no big deal, wins Twitter. Watch",https://www.hindustantimes.com/it-s-viral/smart-elephant-breaks-electric-fence-like-it-s-no-big-deal-wins-twitter-watch/story-WeA2SzUnVfaTDURDJDKOYK.html
Gorilla uses sign language to tell onlookers this. Watch jaw dropping video,https://www.hindustantimes.com/it-s-viral/gorilla-uses-sign-language-to-tell-onlookers-this-watch-jaw-dropping-video/story-Hbwy1kZxtm19D9M8PDdezH.html
"Fake alert! Delhi schools to be shut till November 5, not 8, clears Manish Sisodia",https://www.hindustantimes.com/it-s-viral/fake-alert-delhi-schools-to-be-shut-till-november-5-not-8-clears-manish-sisodiya/story-he7iXLSJ3gCtdPuFeos7LL.html
Shikhar Dhawan shares adorable video of Rohit Sharma’s daughter. Watch,https://www.hindustantimes.com/it-s-viral/shikhar-dhawan-shares-adorable-video-of-rohit-sharma-s-daughter-watch/story-pMGJfGdaEfb30honfveLKI.html
Only math lovers can understand this tweet. Are you one of them?,https://www.hindustantimes.com/it-s-viral/only-math-lovers-can-understand-this-tweet-are-you-one-of-them/story-SY7UgrU5ioSH1DdI9HghwO.html
Man starts Twitter thread on ‘homemade pasta’ to woo Tinder match. Did he succeed?,https://www.hindustantimes.com/it-s-viral/man-starts-twitter-thread-on-homemade-pasta-to-woo-tinder-match-did-he-succeed/story-gJahY3gGM2JeTupAT5xRFN.html
These ‘dating app for’ posts are flooding Twitter. Seen them yet?,https://www.hindustantimes.com/it-s-viral/these-dating-app-for-posts-are-flooding-twitter-seen-them-yet/story-yc50bZSgMDFH1zk7Wcz8lN.html
"University professor brings soft toys to class every week, reason makes Twitter emotional. Watch",https://www.hindustantimes.com/it-s-viral/university-professor-brings-soft-toys-to-class-every-week-reason-makes-twitter-emotional-watch/story-C0hukvPzPusWDr4HOUCNuI.html
Kid’s selfless act on Halloween wins the Internet. Watch what he did,https://www.hindustantimes.com/it-s-viral/kid-s-selfless-act-on-halloween-wins-the-internet-watch-what-he-did/story-ewcEO3P7qAW6f9JjN9rMvN.html
Kaun Banega Crorepati’s question related to Rahul Gandhi attracts tweet from Tejasvi Surya. Here’s why,https://www.hindustantimes.com/it-s-viral/kaun-banega-crorepati-s-question-related-to-rahul-gandhi-attracts-tweet-from-tejasvi-surya-here-s-why/story-qGyUorwBsymRjSy048Hr5L.html
"Fugitive asks cops to add costume to his pic, they oblige. Then he does this",https://www.hindustantimes.com/it-s-viral/fugitive-asks-cops-to-add-costume-to-his-pic-they-oblige-then-he-does-this/story-u8gI19j8ZN6l5eetXXhb1L.html
"Shashi Tharoor, Harsh Goenka take a dig at Delhi’s poor air quality on Twitter",https://www.hindustantimes.com/it-s-viral/shashi-tharoor-harsh-goenka-take-a-dig-at-delhi-s-poor-air-quality-on-twitter/story-eCFFkzyn5AVOPg2rlhRGrO.html
Adorable video of baby pangolin with its mother is a perfect Saturday treat for you,https://www.hindustantimes.com/it-s-viral/video-of-baby-pangolin-with-its-mother-is-a-perfect-saturday-treat-for-you/story-aWw1e84Zlkdb3LpVAw8pgP.html
People flag off ‘No Shave November’ challenge on Twitter with hilarious memes,https://www.hindustantimes.com/it-s-viral/people-flag-off-no-shave-november-challenge-on-twitter-with-hilarious-memes/story-6qAMEptwA4iWkbQ9dJGVTM.html
Hyderabad earns the UNESCO title of ‘Creative City of Gastronomy’ for its rich culinary heritage,https://www.hindustantimes.com/it-s-viral/hyderabad-earns-the-unesco-title-of-creative-city-of-gastronomy-for-its-rich-culinary-heritage/story-cnW6DR1UFtaj8In9rtlY6M.html
"White House homecoming for ‘hero’ dog who took part in Baghdadi raid, tweets Donald Trump",https://www.hindustantimes.com/it-s-viral/white-house-homecoming-for-hero-dog-who-took-part-in-baghdadi-raid-tweets-donald-trump/story-nMOoGCEqTg0GlYL35kFwYL.html
"Woman fakes baby bump to skip excess baggage fees, gets caught",https://www.hindustantimes.com/lifestyle/woman-fakes-baby-bump-to-skip-excess-baggage-fees-gets-caught/story-689oxVonez1AOBjAvxS1iN.html
"Dog gets hit by car, rides inside its bumper for 45 minutes",https://www.hindustantimes.com/it-s-viral/dog-gets-hit-by-car-rides-inside-its-bumper-for-45-minutes/story-w7PhAFJIxnx6UKKDkL3wdO.html
Woman busy on mobile falls onto tracks in front of train. Heart-stopping video captured,https://www.hindustantimes.com/it-s-viral/woman-busy-on-mobile-falls-onto-tracks-in-front-of-train-heart-stopping-video-captured/story-r0nZ1e8WnWhYyDe1FDRhaK.html
‘Real life’ scary Halloween story goes viral. It’ll send a chill down your spine,https://www.hindustantimes.com/it-s-viral/real-life-scary-halloween-story-goes-viral-it-ll-send-a-chill-down-your-spine/story-a0fBIWaWOOPDY2enMbAEeM.html
"Mumbai’s municipal corporation starts ‘Pothole Challenge 2019,’ offers Rs 500 as reward. There’s a catch",https://www.hindustantimes.com/it-s-viral/mumbai-s-municipal-corporation-starts-pothole-challenge-2019-offers-rs-500-as-reward-there-s-a-catch/story-Fj2YnD2aMvB2VoCAKVSCrL.html
Thousands are live-streaming the decay of a decade-old McDonald’s burger. No kidding,https://www.hindustantimes.com/it-s-viral/thousands-are-live-streaming-the-decay-of-a-decade-old-mcdonald-s-burger-no-kidding/story-EHIjn7gRKaVWZXsKdn1Z5H.html
"Kaun Banega Crorepati 11 gets cat as ‘contestant,’ Amitabh Bachchan tweets pics",https://www.hindustantimes.com/it-s-viral/kaun-banega-crorepati-11-gets-cat-as-contestant-amitabh-bachchan-tweets-pics/story-Jx6NOFwPn7AgUXxvQmLY9M.html
"Dog starts new ‘job’ at state’s attorney’s office, reason gets people’s appreciation",https://www.hindustantimes.com/it-s-viral/labrador-sworn-into-state-s-attorney-s-office-in-chicago/story-3CrPEerasxhETddAijD6cI.html
